timestamp,ambient10mm,ambient27mm,740nm10mm,940nm10mm,850nm10mm,740nm27mm,940nm27mm,850nm27mm,hbo,hbr,hbt,flowActivity,heartRate,flowIntensity,buttonPress,note,motionContext,latitude,longitude,likelihoodFrustrated,likelihoodExcited,likelihoodCalm,spo2,vo2Max
1752420410869.0,128854.0,5400813.0,6696280.0,3437090.0,6156510.0,7730623.0,6349070.0,8102632.0,0.0,0.0,0.0,0,0,0,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420410909.0,128462.0,5355457.0,6674384.0,3422036.0,6129211.0,7665444.0,6291597.0,8043267.0,0.0,0.0,0.0,0,0,0,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420410949.0,128989.0,5290461.0,6676639.0,3428508.0,6140861.0,7585425.0,6219164.0,7967544.0,0.0,0.0,0.0,0,0,0,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420410989.0,129398.0,5224572.0,6663461.0,3419193.0,6128244.0,7511821.0,6148808.0,7890832.0,0.0,0.0,0.0,13,0,9,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411029.0,129245.0,5145749.0,6663882.0,3407024.0,6103021.0,7430017.0,6060957.0,7788521.0,0.0,0.0,0.0,13,0,9,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411069.0,130942.0,5085727.0,6696632.0,3427358.0,6145196.0,7359367.0,6000403.0,7727277.0,0.0,0.0,0.0,13,0,9,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411109.0,132349.0,5013598.0,6711114.0,3442948.0,6177127.0,7277876.0,5924701.0,7646836.0,0.0,0.0,0.0,29,0,19,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411149.0,134687.0,4943659.0,6769165.0,3486845.0,6276496.0,7211138.0,5859831.0,7579842.0,0.0,0.0,0.0,29,0,19,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411189.0,133326.0,4905200.0,6702388.0,3439195.0,6194683.0,7167931.0,5816948.0,7528246.0,0.0,0.0,0.0,29,0,19,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411229.0,133056.0,4877929.0,6712801.0,3442757.0,6196301.0,7142498.0,5792084.0,7496955.0,0.0,0.0,0.0,45,0,30,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411269.0,131357.0,4843131.0,6693196.0,3420944.0,6150346.0,7099565.0,5749030.0,7449679.0,-9.651593670198375e-17,1.4135899908530622e-16,4.4843062383322464e-17,45,0,30,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411309.0,130918.0,4814500.0,6692428.0,3418672.0,6145493.0,7070322.0,5722206.0,7419770.0,-1.0467014420603438e-16,1.5457734526068527e-16,4.990720105465089e-17,45,0,30,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411349.0,131308.0,4784383.0,6749212.0,3456145.0,6207617.0,7037952.0,5690099.0,7391581.0,-5.116375149017042e-16,6.129039167696051e-16,1.0126640186790087e-16,63,0,42,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411389.0,134015.0,4739166.0,6834356.0,3518147.0,6325775.0,7002119.0,5652290.0,7358336.0,-5.116375149017042e-16,6.129039167696051e-16,1.0126640186790087e-16,63,0,42,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411429.0,135852.0,4739697.0,6884683.0,3551701.0,6394119.0,7025026.0,5670535.0,7390057.0,-1.0913393371821786e-15,1.2248559273261259e-15,1.3351659014394727e-16,63,0,42,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411469.0,135542.0,4743087.0,6858866.0,3529103.0,6358107.0,7039797.0,5682967.0,7399929.0,-1.6113886303955352e-15,1.7422375740957413e-15,1.3084894370020605e-16,83,0,55,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752420411509.0,135083.0,4782964.0,6860805.0,3519930.0,6333234.0,7089648.0,5735292.0,7453791.0,-1.6113886303955352e-15,1.7422375740957413e-15,1.3084894370020605e-16,83,0,55,0,,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
