timestamp,hbo,hbr,flowActivity,heartRate,flowIntensity
1752420410869.0,0.0,0.0,0,0,0
1752420410909.0,0.0,0.0,0,0,0
1752420410949.0,0.0,0.0,0,0,0
1752420410989.0,0.0,0.0,13,0,9
1752420411029.0,0.0,0.0,13,0,9
1752420411069.0,0.0,0.0,13,0,9
1752420411109.0,0.0,0.0,29,0,19
1752420411149.0,0.0,0.0,29,0,19
1752420411189.0,0.0,0.0,29,0,19
1752420411229.0,0.0,0.0,45,0,30
1752420411269.0,-9.651593670198375e-17,1.4135899908530622e-16,45,0,30
1752420411309.0,-1.0467014420603437e-16,1.5457734526068527e-16,45,0,30
1752420411349.0,-5.116375149017042e-16,6.129039167696052e-16,63,0,42
1752420411389.0,-5.116375149017042e-16,6.129039167696052e-16,63,0,42
1752420411429.0,-1.0913393371821786e-15,1.224855927326126e-15,63,0,42
1752420411469.0,-1.6113886303955352e-15,1.7422375740957413e-15,83,0,55
1752420411509.0,-1.6113886303955352e-15,1.7422375740957413e-15,83,0,55
1752420411549.0,-1.6113886303955352e-15,1.7422375740957413e-15,83,0,55
1752420411589.0,-1.362460858746435e-15,1.2744672116858304e-15,105,0,70
1752420411629.0,-6.646344952077402e-16,2.627208737949155e-16,105,0,70
1752420411669.0,-6.646344952077402e-16,2.627208737949155e-16,105,0,70
1752420411709.0,-6.646344952077402e-16,2.627208737949155e-16,129,0,86
1752420411749.0,-6.740614777987012e-16,-1.0461545102398708e-17,129,0,86
1752420411789.0,-2.098765140890297e-15,1.4659987779834737e-15,129,0,86
1752420411829.0,-4.062890442128743e-15,3.658164724273405e-15,156,0,104
1752420411869.0,-4.4243368351222034e-15,4.1194253032063015e-15,156,0,104
1752420411909.0,-3.1129652626408746e-15,2.626058753963881e-15,156,0,104
1752420411949.0,-1.241324591482683e-15,4.4366820315019957e-16,185,0,123
1752420411989.0,-3.708155358073276e-16,-6.268647976132584e-16,185,0,123
1752420412029.0,-2.2966885964725424e-16,-8.370753682614612e-16,185,0,123
1752420412069.0,-2.018593728387385e-16,-8.585720762361735e-16,218,0,145
1752420412109.0,3.80167925456538e-16,-1.389202535897459e-15,218,0,145
1752420412149.0,3.80167925456538e-16,-1.389202535897459e-15,218,0,145
1752420412189.0,3.80167925456538e-16,-1.389202535897459e-15,238,0,159
1752420412229.0,3.80167925456538e-16,-1.389202535897459e-15,238,0,159
1752420412269.0,3.80167925456538e-16,-1.389202535897459e-15,238,0,159
1752420412309.0,3.924601677187997e-15,-5.1028706468779346e-15,260,0,173
1752420412349.0,1.0030416132347475e-14,-1.1615197481486151e-14,260,0,173
1752420412389.0,1.7887586987431473e-14,-2.0102526755621055e-14,260,0,173
1752420412429.0,2.1391693959393993e-14,-2.3811645629111582e-14,281,0,187
1752420412469.0,2.0708683860860812e-14,-2.288699284225007e-14,281,0,187
1752420412509.0,1.6329341698196077e-14,-1.7873775268207355e-14,281,0,187
1752420412549.0,1.1801416121860052e-14,-1.2750948242767747e-14,303,0,202
1752420412589.0,6.730928179797976e-15,-7.093480656647288e-15,303,0,202
1752420412629.0,8.839997935290832e-16,-6.137463792674054e-16,303,0,202
1752420412669.0,-5.320057729391512e-15,6.283744547280541e-15,325,0,216
1752420412709.0,-1.0190533664236076e-14,1.1731588137479814e-14,325,0,216
1752420412749.0,-1.3256591336389136e-14,1.5188807318349646e-14,325,0,216
1752420412789.0,-1.449590443969106e-14,1.6613620636914764e-14,347,0,231
1752420412829.0,-1.4992201936470424e-14,1.7199284062360513e-14,347,0,231
